,scores,name,has_open_top,has_open_bottom
2860,-0.4534323040584563,BB47nHm0160,False,True
2862,0.08646312000845538,BB47nHm0162,False,True
2866,0.896071108189152,BB47nHm0166,False,False
2868,-0.4667116363725846,BB47nHm0168,False,True
2870,-0.4821836174049498,BB47nHm0170,False,True
2872,0.004344529627316067,BB47nHm0172,False,True
2875,1.2319666265249565,BB47nHm0175,False,False
2876,3.3778896414984607,BB47nHm0176,False,False
2878,0.2746166520716854,BB47nHm0178,False,False
2879,-0.13816960171377068,BB47nHm0179,False,True
2880,0.026330642227265832,BB47nHm0180,False,True
2881,2.522672739787092,BB47nHm0181,False,False
2882,-0.01605640702911721,BB47nHm0182,False,True
2884,0.22981547864717586,BB47nHm0184,False,True
2885,-0.6619381373580847,BB47nHm0185,False,True
2888,1.833853197020904,BB47nHm0188,False,False
2890,-0.28348117028135417,BB47nHm0190,False,True
2891,0.034109362365292335,BB47nHm0191,False,True
2892,-0.06817145575137534,BB47nHm0192,False,True
2893,-0.32854409258025,BB47nHm0193,False,True
2894,-0.07290128891514051,BB47nHm0194,False,True
2895,1.9233392396761644,BB47nHm0195,False,False
2897,2.542143032073448,BB47nHm0197,False,False
2898,0.16358406866516456,BB47nHm0198,False,False
2899,1.7609753519112918,BB47nHm0199,False,False
2900,1.9747697392177828,BB47nHm0200,False,False
2901,-0.403101152266564,BB47nHm0201,False,True
2904,-0.7174605042505804,BB47nHm0204,False,True
2906,0.8248758619473999,BB47nHm0206,False,False
2907,-0.5004604722829316,BB47nHm0207,False,True
2909,-0.3454366345118917,BB47nHm0209,False,True
2912,0.10343362261635586,BB47nHm0212,False,True
2915,-0.18226890449511335,BB47nHm0215,False,True
2916,-0.17041593708346192,BB47nHm0216,False,True
2919,-0.1547785490601059,BB47nHm0219,False,True
2920,0.2284721503127957,BB47nHm0220,False,True
2922,-0.3707944799254396,BB47nHm0222,False,True
2923,2.2848724173572315,BB47nHm0223,False,False
2925,0.9028987597000666,BB47nHm0225,False,False
2928,-0.39638123052561797,BB47nHm0228,False,True
2930,2.5923748100379798,BB47nHm0230,False,False
2932,1.7228224944777746,BB47nHm0232,False,False
2934,3.0779034253628414,BB47nHm0234,False,False
2936,-0.17547022428399012,BB47nHm0236,False,True
2937,0.5949179084605142,BB47nHm0237,False,False
2938,-0.22297164667308367,BB47nHm0238,False,True
2940,-0.18080031404078936,BB47nHm0240,False,True
2941,2.6148462800920727,BB47nHm0241,False,False
2944,0.64681941250436,BB47nHm0244,False,False
2945,-0.348880159745673,BB47nHm0245,False,True
2946,-0.2790761707838183,BB47nHm0246,False,True
2948,-0.3023347837320329,BB47nHm0248,False,True
2950,-0.4163358434960093,BB47nHm0250,False,True
2952,-0.22893133105511965,BB47nHm0252,False,True
2955,1.632172137403605,BB47nHm0255,False,False
2956,0.98069668396188,BB47nHm0256,False,False
2958,-0.291759318642818,BB47nHm0258,False,True
2959,2.5355692437852486,BB47nHm0259,False,False
2961,1.9538552946047532,BB47nHm0261,False,False
2962,2.1660305729749685,BB47nHm0262,False,False
2963,0.10581138900763892,BB47nHm0263,False,True
2964,0.1372820461236734,BB47nHm0264,False,True
2965,0.17192565411600158,BB47nHm0265,False,False
2968,-0.3196024035572593,BB47nHm0268,False,True
2970,0.05145168316410087,BB47nHm0270,False,False
2971,-0.07994071971777766,BB47nHm0271,False,True
2974,-0.4575030885328746,BB47nHm0274,False,True
2975,-0.3483840289864063,BB47nHm0275,False,True
2976,1.6827584681688863,BB47nHm0276,False,False
2977,2.2987402010761286,BB47nHm0277,False,False
2978,-0.3602113591248107,BB47nHm0278,False,True
2981,-0.18994180858404064,BB47nHm0281,False,True
2982,-0.5873599784932274,BB47nHm0282,False,True
2985,-0.15592701981436904,BB47nHm0285,False,True
2986,1.6806437611092284,BB47nHm0286,False,False
2987,-0.04715046221624759,BB47nHm0287,False,True
2989,1.792775008897981,BB47nHm0289,False,False
2991,-0.2402296753568988,BB47nHm0291,False,True
2992,-0.06685956508344981,BB47nHm0292,False,True
2993,-0.013477305216841429,BB47nHm0293,False,True
2994,-0.1991530988882212,BB47nHm0294,False,True
2997,-0.6427576804535622,BB47nHm0297,False,True
2998,0.3578051264294256,BB47nHm0298,False,True
3001,0.3717356295284823,BB47nHm0301,False,False
3002,-0.7526429571728399,BB47nHm0302,False,True
3003,1.6210737241242217,BB47nHm0303,False,False
3004,0.9123945142644752,BB47nHm0304,False,False
3005,0.3082594818423585,BB47nHm0305,False,False
3006,0.2635766985675628,BB47nHm0306,False,False
3007,2.6611264720084087,BB47nHm0307,False,False
3008,-0.1451951413498106,BB47nHm0308,False,True
3009,-0.796151511093857,BB47nHm0309,False,True
3011,1.8372957741194391,BB47nHm0311,False,False
3013,-0.1185336762947252,BB47nHm0313,False,True
3016,-0.6593787301102869,BB47nHm0316,False,True
3017,0.07340893584580678,BB47nHm0317,False,True
3019,2.8385050822485405,BB47nHm0319,False,False
3020,-0.9592802108856292,BB47nHm0320,False,True
3022,1.4559866886174482,BB47nHm0322,False,False
3024,-0.2937212273040986,BB47nHm0324,False,True
3025,-0.06822354605232309,BB47nHm0325,False,True
3029,1.3520181481662967,BB47nHm0329,False,False
3030,2.3648563473159294,BB47nHm0330,False,False
3034,-0.026374962099671287,BB47nHm0334,False,True
3036,-0.5697002340203442,BB47nHm0336,False,True
3038,-0.8387470909935985,BB47nHm0338,False,True
3040,1.0572314701126158,BB47nHm0340,False,False
3042,-0.2931141924347275,BB47nHm0342,False,True
3043,0.5254556015562529,BB47nHm0343,False,False
3047,-0.3309747746499433,BB47nHm0347,False,True
3048,0.04117061839196691,BB47nHm0348,False,True
3051,-0.13362106634085494,BB47nHm0351,False,True
3052,-0.16835952495113946,BB47nHm0352,False,True
3056,-0.8124596208840065,BB47nHm0356,False,True
3057,-0.2383350555417908,BB47nHm0357,False,True
3058,-0.4314475205640358,BB47nHm0358,False,True
3065,-0.2720135676566265,BB47nHm0365,False,True
3068,0.020509874431535208,BB47nHm0368,False,True
3069,0.9170081874534496,BB47nHm0369,False,False
3070,2.713994032131092,BB47nHm0370,False,False
3071,1.4686819977850107,BB47nHm0371,False,False
3075,-0.8420285135253169,BB47nHm0375,False,True
3077,-0.30281161444411625,BB47nHm0377,False,True
3078,0.14356757389924218,BB47nHm0378,False,True
3080,2.3849161212509107,BB47nHm0380,False,False
3082,0.01760255270732125,BB47nHm0382,False,True
3084,0.10969213555136877,BB47nHm0384,False,True
3085,-0.4459496232913317,BB47nHm0385,False,True
3086,2.0226425736034472,BB47nHm0386,False,False
3087,1.7213715700432601,BB47nHm0387,False,False
3088,-0.34762910926032803,BB47nHm0388,False,True
3089,0.3280942053076452,BB47nHm0389,False,False
3091,0.3964584952531568,BB47nHm0391,False,True
3094,3.03096803414505,BB47nHm0394,False,False
3095,-0.2669191942670177,BB47nHm0395,False,True
3096,-0.5032303188406251,BB47nHm0396,False,True
3098,1.7089016382156332,BB47nHm0398,False,False
3099,-0.4018666091710252,BB47nHm0399,False,True
3100,0.20272610622165602,BB47nHm0400,False,False
3102,0.0647766056149745,BB47nHm0402,False,True
3103,-0.299414070725467,BB47nHm0403,False,True
3104,-0.10419898426758213,BB47nHm0404,False,True
3105,0.10989097989918696,BB47nHm0405,False,True
3110,0.5785453445035559,BB47nHm0410,False,False
3112,-0.17895228946121622,BB47nHm0412,False,True
3114,0.230016118644718,BB47nHm0414,False,True
3115,-0.4185120911874747,BB47nHm0415,False,True
3116,-0.5226998128485579,BB47nHm0416,False,True
3117,-0.054204078398583766,BB47nHm0417,False,True
3118,0.34912011950516625,BB47nHm0418,False,True
3119,-0.04606497990650964,BB47nHm0419,False,True
3120,0.3639312717691005,BB47nHm0420,False,False
3121,-0.4341602618485143,BB47nHm0421,False,True
3123,1.4307208920411276,BB47nHm0423,False,False
3124,-0.790939562859797,BB47nHm0424,False,True
3127,-0.4596355652586366,BB47nHm0427,False,True
3128,-0.08546156275221084,BB47nHm0428,False,True
3129,3.697684652081623,BB47nHm0429,False,False
3133,1.627190268475519,BB47nHm0433,False,False
3134,-0.2352645551015161,BB47nHm0434,False,True
3135,-0.2845586330603429,BB47nHm0435,False,True
3136,-0.1805888755303799,BB47nHm0436,False,True
3138,-0.17729614022057233,BB47nHm0438,False,True
3141,0.821339492348343,BB47nHm0441,False,False
3142,-0.4594773220363669,BB47nHm0442,False,True
3143,-0.055646132004158855,BB47nHm0443,False,True
3144,-0.07746516636895512,BB47nHm0444,False,True
3145,0.2058044015677256,BB47nHm0445,False,True
3147,-0.3578582300200686,BB47nHm0447,False,True
3148,0.5669039059206741,BB47nHm0448,False,False
3149,-0.1959982500422069,BB47nHm0449,False,True
3151,-0.3128412621216477,BB47nHm0451,False,True
3152,1.803152507961796,BB47nHm0452,False,False
3153,-0.3245802673415409,BB47nHm0453,False,True
3154,-0.015740254170410282,BB47nHm0454,False,True
3155,0.7684565644034996,BB47nHm0455,False,False
3156,2.4450457278231648,BB47nHm0456,False,False
3158,-0.3842508542902654,BB47nHm0458,False,True
3159,1.1006611258789714,BB47nHm0459,False,False
3160,2.94409236152748,BB47nHm0460,False,False
3161,2.0405028140204418,BB47nHm0461,False,False
3162,2.5528130161408282,BB47nHm0462,False,False
3164,0.40794308203808505,BB47nHm0464,False,False
3166,0.28990769956994844,BB47nHm0466,False,True
3167,0.7898105536724327,BB47nHm0467,False,False
3168,-0.3375896298899805,BB47nHm0468,False,True
3169,0.02035892061964104,BB47nHm0469,False,True
3170,-0.012695370311218935,BB47nHm0470,False,True
3175,1.2101615308199063,BB47nHm0475,False,False
3176,1.0647881892724422,BB47nHm0476,False,False
3177,-0.4660277599779167,BB47nHm0477,False,True
3178,-0.4863124090620962,BB47nHm0478,False,True
3180,0.7568430787509777,BB47nHm0480,False,False
3182,0.08342762161223252,BB47nHm0482,False,True
3184,-0.4632559809588537,BB47nHm0484,False,True
3185,-0.2816380416927876,BB47nHm0485,False,True
3186,2.0806185366543546,BB47nHm0486,False,False
3188,-0.4368232027907577,BB47nHm0488,False,True
3190,0.05568586659404745,BB47nHm0490,False,True
3191,-0.44024952805059736,BB47nHm0491,False,True
3192,-0.2809955074665079,BB47nHm0492,False,True
3193,0.0967119852148981,BB47nHm0493,False,True
3194,1.4439881354321105,BB47nHm0494,False,False
3195,1.0814991286302162,BB47nHm0495,False,False
3198,-0.5311389012659906,BB47nHm0498,False,True
3199,0.4924768452456204,BB47nHm0499,False,True
3200,1.5289608063138067,BB47nHm0500,False,False
3201,0.07020799516943241,BB47nHm0501,False,True
3202,0.1779817895381852,BB47nHm0502,False,True
3203,-0.4625525380175144,BB47nHm0503,False,True
3207,-0.0055399009318939365,BB47nHm0507,False,True
3210,-0.2977527208907513,BB47nHm0510,False,True
3212,3.3430964191182215,BB47nHm0512,False,False
